Tweet_Num,Step 2 Prob,Step 2 Result
9332,0.830986523,entity_directed_hostility
9379,0.983136114,entity_directed_hostility
9398,0.95120508,entity_directed_hostility
9413,0.837989441,entity_directed_hostility
9427,0.944408114,entity_directed_hostility
9442,0.933424136,entity_directed_hostility
9445,0.968434305,entity_directed_hostility
9448,0.951644538,entity_directed_hostility
9458,0.991002364,entity_directed_hostility
9467,0.952251583,entity_directed_hostility
9471,0.941408918,entity_directed_hostility
9473,0.959269891,entity_directed_hostility
9498,0.939144503,entity_directed_hostility
9511,0.936019139,entity_directed_hostility
9527,0.852450102,entity_directed_hostility
9529,0.998562617,entity_directed_hostility
9567,0.926890027,entity_directed_hostility
9570,0.995699349,entity_directed_hostility
9575,0.968685549,entity_directed_hostility
9576,0.914136966,entity_directed_hostility
9595,0.977144206,entity_directed_hostility
9622,0.879543065,entity_directed_hostility
9631,0.979510892,entity_directed_hostility
9650,0.98385648,entity_directed_hostility
9657,0.996531246,entity_directed_hostility
9660,0.975918499,entity_directed_hostility
9670,0.932168482,entity_directed_hostility
9680,0.984420038,entity_directed_hostility
9725,0.792920617,entity_directed_hostility
9794,0.943049216,entity_directed_hostility
9807,0.971052851,entity_directed_hostility
9837,0.89479995,entity_directed_hostility
9850,0.98833375,entity_directed_hostility
9854,0.968279007,entity_directed_hostility
9866,0.858180806,entity_directed_hostility
9886,0.919335166,entity_directed_hostility
9898,0.945800456,entity_directed_hostility
9902,0.916757133,entity_directed_hostility
9926,0.920665993,entity_directed_hostility
9957,0.928821386,entity_directed_hostility
9969,0.97631483,entity_directed_hostility
9973,0.954833437,entity_directed_hostility
10010,0.974669049,entity_directed_hostility
10013,0.954997712,entity_directed_hostility
10016,0.835207022,entity_directed_hostility
10031,0.785495399,entity_directed_hostility
10043,0.88721088,entity_directed_hostility
10049,0.947138606,entity_directed_hostility
10099,0.920310631,entity_directed_hostility
10129,0.824032552,entity_directed_hostility
10142,0.999292867,entity_directed_hostility
10160,0.896289877,entity_directed_hostility
10187,0.984589657,entity_directed_hostility
10188,0.967534265,entity_directed_hostility
10220,0.975079683,entity_directed_hostility
10228,0.857835116,entity_directed_hostility
10232,0.914215296,entity_directed_hostility
10233,0.916261057,entity_directed_hostility
10237,0.978108659,entity_directed_hostility
10247,0.926826918,entity_directed_hostility
10273,0.84424346,entity_directed_hostility
10281,0.904248642,entity_directed_hostility
10288,0.893331473,entity_directed_hostility
10297,0.983073381,entity_directed_hostility
10308,0.927014167,entity_directed_hostility
10313,0.975135467,entity_directed_hostility
10359,0.992994807,entity_directed_hostility
10364,0.908159258,entity_directed_hostility
10391,0.801801737,entity_directed_hostility
10402,0.908713352,entity_directed_hostility
10405,0.937851649,entity_directed_hostility
10407,0.971201972,entity_directed_hostility
10428,0.923177756,entity_directed_hostility
10436,0.919643325,entity_directed_hostility
10444,0.925929681,entity_directed_hostility
10448,0.870086104,entity_directed_hostility
10455,0.905105768,entity_directed_hostility
10457,0.975595155,entity_directed_hostility
10473,0.895148477,entity_directed_hostility
10505,0.977941675,entity_directed_hostility
10510,0.98235516,entity_directed_hostility
10590,0.94427115,entity_directed_hostility
10623,0.858647133,entity_directed_hostility
10629,0.824573817,entity_directed_hostility
10645,0.998711035,entity_directed_hostility
10651,0.84855445,entity_directed_hostility
10710,0.815403948,entity_directed_hostility
10719,0.984620197,entity_directed_hostility
10720,0.963718977,entity_directed_hostility
10727,0.829406846,entity_directed_hostility
10749,0.956495045,entity_directed_hostility
10760,0.882684194,entity_directed_hostility
10770,0.959270698,entity_directed_hostility
10775,0.794075888,entity_directed_hostility
10777,0.909997495,entity_directed_hostility
10781,0.968530925,entity_directed_hostility
10783,0.997890281,entity_directed_hostility
10802,0.98529663,entity_directed_hostility
10803,0.851910549,entity_directed_hostility
10837,0.880849797,entity_directed_hostility
10847,0.932411349,entity_directed_hostility
10854,0.958759999,entity_directed_hostility
10856,0.838350115,entity_directed_hostility
10886,0.802388601,entity_directed_hostility
10909,0.984649136,entity_directed_hostility
10910,0.906681764,entity_directed_hostility
10925,0.931012715,entity_directed_hostility
10929,0.981143709,entity_directed_hostility
10935,0.967250512,entity_directed_hostility
10945,0.84664832,entity_directed_hostility
10947,0.892432938,entity_directed_hostility
10961,0.808637708,entity_directed_hostility
10970,0.956744317,entity_directed_hostility
10987,0.92505374,entity_directed_hostility
11017,0.844191364,entity_directed_hostility
11067,0.970574599,entity_directed_hostility
11104,0.987156317,entity_directed_hostility
11122,0.997457934,entity_directed_hostility
11159,0.997572722,entity_directed_hostility
11185,0.850063926,entity_directed_hostility
11200,0.994201311,entity_directed_hostility
11202,0.859738986,entity_directed_hostility
11300,0.90233004,entity_directed_hostility
11344,0.918721719,entity_directed_hostility
11362,0.917233672,entity_directed_hostility
11369,0.923483411,entity_directed_hostility
11383,0.800838671,entity_directed_hostility
11399,0.946252648,entity_directed_hostility
11446,0.990407194,entity_directed_hostility
11459,0.960749504,entity_directed_hostility
11510,0.846285131,entity_directed_hostility
11533,0.907500623,entity_directed_hostility
11573,0.938443331,entity_directed_hostility
11584,0.877571809,entity_directed_hostility
11591,0.916590997,entity_directed_hostility
11599,0.947756591,entity_directed_hostility
11605,0.968165593,entity_directed_hostility
11612,0.824460027,entity_directed_hostility
11634,0.911485125,entity_directed_hostility
11671,0.859959246,entity_directed_hostility
11701,0.951466256,entity_directed_hostility
11709,0.983224135,entity_directed_hostility
11735,0.898774413,entity_directed_hostility
11746,0.911197169,entity_directed_hostility
11758,0.989319201,entity_directed_hostility
11786,0.953385934,entity_directed_hostility
11802,0.979215659,entity_directed_hostility
11805,0.976750762,entity_directed_hostility
11811,0.99563128,entity_directed_hostility
11830,0.964179745,entity_directed_hostility
11843,0.956367806,entity_directed_hostility
11876,0.96597377,entity_directed_hostility
11912,0.863844977,entity_directed_hostility
11917,0.790985374,entity_directed_hostility
11925,0.850615909,entity_directed_hostility
11932,0.826176861,entity_directed_hostility
11934,0.930599865,entity_directed_hostility
11989,0.938085447,entity_directed_hostility
12000,0.986312499,entity_directed_hostility
12015,0.987906404,entity_directed_hostility
12027,0.797595649,entity_directed_hostility
12042,0.81020739,entity_directed_hostility
12049,0.982797094,entity_directed_hostility
12086,0.826062363,entity_directed_hostility
12088,0.852990885,entity_directed_hostility
12091,0.805563832,entity_directed_hostility
12122,0.98022486,entity_directed_hostility
12139,0.976746988,entity_directed_hostility
12161,0.871629064,entity_directed_hostility
12164,0.982024472,entity_directed_hostility
12167,0.984328824,entity_directed_hostility
12176,0.878921701,entity_directed_hostility
12187,0.956844229,entity_directed_hostility
12189,0.996745826,entity_directed_hostility
12195,0.930369282,entity_directed_hostility
12261,0.955838881,entity_directed_hostility
12264,0.975646295,entity_directed_hostility
12271,0.911385877,entity_directed_hostility
12282,0.869629612,entity_directed_hostility
12289,0.970724789,entity_directed_hostility
12303,0.957087609,entity_directed_hostility
12334,0.927565157,entity_directed_hostility
12342,0.838432597,entity_directed_hostility
12350,0.799427593,entity_directed_hostility
12373,0.966925164,entity_directed_hostility
12402,0.992952269,entity_directed_hostility
12454,0.984548779,entity_directed_hostility
12459,0.999693839,entity_directed_hostility
12486,0.968445437,entity_directed_hostility
12488,0.803018573,entity_directed_hostility
12503,0.820808399,entity_directed_hostility
12519,0.897834058,entity_directed_hostility
12551,0.991157884,entity_directed_hostility
12598,0.956475039,entity_directed_hostility
12630,0.954120831,entity_directed_hostility
12635,0.951485765,entity_directed_hostility
12654,0.932615485,entity_directed_hostility
12696,0.893546199,entity_directed_hostility
12723,0.981483207,entity_directed_hostility
12761,0.93090638,entity_directed_hostility
12772,0.86447829,entity_directed_hostility
12815,0.922844081,entity_directed_hostility
12823,0.982654376,entity_directed_hostility
12859,0.815546571,entity_directed_hostility
12887,0.799006785,entity_directed_hostility
12890,0.935818886,entity_directed_hostility
12913,0.944332877,entity_directed_hostility
12927,0.988711981,entity_directed_hostility
12938,0.908650096,entity_directed_hostility
12941,0.952570768,entity_directed_hostility
12942,0.860426861,entity_directed_hostility
12959,0.935983961,entity_directed_hostility
13012,0.865001195,entity_directed_hostility
13022,0.99431527,entity_directed_hostility
13027,0.798969479,entity_directed_hostility
13035,0.958871649,entity_directed_hostility
13054,0.889311881,entity_directed_hostility
13088,0.924530072,entity_directed_hostility
13093,0.829348133,entity_directed_hostility
13105,0.995378083,entity_directed_hostility
13164,0.991636411,entity_directed_hostility
13176,0.885555813,entity_directed_hostility
13181,0.975518605,entity_directed_hostility
13196,0.821532376,entity_directed_hostility
13198,0.958242447,entity_directed_hostility
13248,0.946395941,entity_directed_hostility
13263,0.975604577,entity_directed_hostility
13266,0.873772637,entity_directed_hostility
13267,0.837312533,entity_directed_hostility
13299,0.854503808,entity_directed_hostility
13308,0.928747905,entity_directed_hostility
13310,0.986015352,entity_directed_hostility
13327,0.998652197,entity_directed_hostility
13356,0.95691164,entity_directed_hostility
13358,0.90446736,entity_directed_hostility
13365,0.915824884,entity_directed_hostility
13368,0.996301671,entity_directed_hostility
13390,0.989992498,entity_directed_hostility
13403,0.938327423,entity_directed_hostility
13455,0.971378894,entity_directed_hostility
13513,0.879249934,entity_directed_hostility
13514,0.962113759,entity_directed_hostility
13531,0.966235341,entity_directed_hostility
13533,0.965615936,entity_directed_hostility
13564,0.882495381,entity_directed_hostility
13610,0.916792586,entity_directed_hostility
13614,0.804205063,entity_directed_hostility
13638,0.921588388,entity_directed_hostility
13641,0.880014527,entity_directed_hostility
13646,0.850805026,entity_directed_hostility
